id_station;adresse;cp;fermeture;latitude;longitude;marque;nom;ouverture;pop;saufjour;services;ville
35400004;;35400;;48.61375;-1.98305;Total;RELAIS ST MALO OUEST PETIT COTE;;R;;;
25410007;;25410;;47.18668;5.82517;Netto;Netto;;R;;;
83480001;;83480;;43.44299;6.70539;Carrefour;Carrefour puget sur argens;;R;;;
57220003;;57220;;;;;;;R;;;
82170002;;82170;;43.81266;1.31621;KAI;STATION KAI POMPIGNAN;;R;;;
40260003;;40260;;;;;;;A;;;
56120004;;56120;;47.96384;-2.5449;Système U;Super U JOSSELIN;;R;;;
93400011;;93400;;;;;;;R;;;
74970001;;74970;;46.08008;6.50226;Système U;SUPER U - SARL LES CLUS;;R;;;
27000005;;27000;;49.02423;1.12508;Total;STE NOUVELLE GARAGE ST SAUVEUR;;R;;;
20115001;;20115;;;;;;;R;;;
5100001;;05100;;44.88293;6.62208;Esso;SNC ROLLAND JACK;;R;;;
37190003;;37190;;47.30718;0.53612;Avia;Relais des Jardins de Villandry SARL DESPIERRE;;A;;;
71000016;;71000;;;;;;;R;;;
78120009;;78120;;;;;;;R;;;
1150004;;01150;;;;;;;R;;;
39400003;;39400;;46.54874;6.01626;Atac;ATAC  Supermarche;;R;;;
94100009;;94100;;;;;;;R;;;
49350001;;49350;;47.33435;-0.23232;Système U;Super U GENNES;;R;;;
44730002;;44730;;47.17027;-2.14844;Système U;SUPER U;;R;;;
72230009;;72230;;47.89526;0.19909;Carrefour Contact;Carrefour contact;;R;;;
49280002;;49280;;47.00341;-0.846428;Indépendant sans enseigne;G20 supermarché;;R;;;
32310002;;32310;;;;;;;R;;;
35480002;;35480;;47.82354;-1.83754;Elan;SAINDON Agnès;;R;;;
59184001;;59184;;50.56466;2.89922;Carrefour Contact;SARL SAINGHIN DIS;;R;;;
69720002;;69720;;45.69096;5.03626;Esso Express;ESSO DES SAVOIES;;R;;;
60590002;;60590;;49.35566;1.7696;Carrefour Contact;Carrefour contact;;R;;;
37700007;;37700;;;;;;;R;;;
72100012;;72100;;;;;;;R;;;
24000004;;24750;;45.18002;0.74659;Total Access;TOTAL ACCESS MAGOT CAVARD;;R;;;
71510001;;71510;;46.84925;4.63102;Atac;ATAC ST LEGER SUR DHEUNE;;R;;;
25000004;;25000;;47.22987;6.03699;Total;STATION MME GAULARD;;R;;;
13007005;;13007;;;;;;;R;;;
80250001;;80250;;49.75288;2.3672;Intermarché;INTERMARCHE AILLY/NOYE;;R;;;
20218008;;20218;;42.46274;9.20667;VITO;Sarl BRULE;;R;;;
28700001;;28700;;48.46127;1.76897;Simply Market;Simply Market;;R;;;
67550002;;67550;;48.66705;7.71943;Total;Relais de vendenheim;;R;;;
69100021;;69100;;;;;;;R;;;
54122001;;54122;;;;;;;R;;;
8130002;;08130;;;;;;;R;;;
86110001;;86110;;;;;;;R;;;
15110002;;15110;;44.85651;3.007;Elan;ELAN;;R;;;
76260003;;76260;;50.04858;1.41965;Leclerc;E.LECLERC SAS ETADIS;;R;;;
77370004;;77370;;48.55813;3.00886;Netto;NETTO;;R;;;
69330003;;69330;;45.77642;4.99066;Esso Express;ESSO CARREAU;;R;;;
94600006;;94600;;48.7684;2.41865;Indépendant sans enseigne;COFIZA;;R;;;
42470002;;42470;;;;;;;R;;;
6140004;;06140;;;;;;;R;;;
59330001;;59330;;50.21549;3.96368;Elan;ELAN;;R;;;
72230007;;72230;;47.93985;0.184241;Système U;Super U ARNAGE;;R;;;
44600004;;44600;;47.26308;-2.23696;Total;SARL MORIN;;R;;;
15220001;;15220;;44.8587;2.29237;Indépendant sans enseigne;GARAGE LABOUYGUES;;R;;;
92100004;;92100;;48.8254;2.24821;BP;BP BOULOGNE BILLANCOURT PT DU JOUR;;R;;;
92000009;;92000;;48.91857;2.22317;Total;RELAIS PONT BEZONS;;R;;;
41360003;;41360;;47.90189;0.917505;Elan;GARAGE DE LA GRANGE;;R;;;
77460001;;77460;;48.18261;2.7362;Indépendant sans enseigne;SOUPPES AUTO SA;;R;;;
6200028;;06200;;;;;;;R;;;
95110001;;95110;;48.96714;2.26207;Total Access;RELAIS DE LA BUTTE;;R;;;
47340001;;47340;;44.28564;0.760165;Carrefour Contact;CARREFOUR CONTACT;;R;;;
95570005;;95570;;49.06176;2.34138;BP;BP RN104 AIRE D'ATTAINVILLE;;R;;;
69190003;;69190;;;;;;;R;;;
92300002;;92300;;48.89876;2.29381;BP;BP LEVALLOIS VICTOR HUGO 8 à Huit;;R;;;
22600001;;22600;;;;;;;R;;;
56520006;;56520;;;;;;;R;;;
13140005;;13140;;43.60018;5.00217;Intermarché;INTERMARCHE MIRAMAS;;R;;;
13140006;;13140;;;;;;;R;;;
81660001;;81660;;43.49774;2.40017;Leclerc;SODIMAZ;;R;;;
30140003;;30140;;44.065;3.97168;Intermarché;INTERMARCHE SAS LABAHOU;;R;;;
57290001;;57290;;49.3069;6.11707;Leclerc;SAS FIFAM;;R;;;
27210002;;27210;;49.3205;0.31946;Esso;ESSO BEUZEVILLE;;A;;;
87520001;;87520;;45.93635;1.02773;Simply Market;Simply ORADOUR SUR GLANE;;R;;;
51100041;;51100;;49.26468;4.05933;Total Access;RELAIS DE LA CHAMPENOISE;;R;;;
12850002;;12850;;44.3932;2.60291;Leclerc;HYPERMARCHE E. LECLERC SEBADIS;;R;;;
81370001;;81370;;43.77025;1.67338;Carrefour Market;Carrefour Market;;R;;;
69720001;;69720;;;;;;;R;;;
16150003;;16150;;45.87846;0.726036;Système U;Super U CHABANAIS;;R;;;
49070002;;49070;;47.46525;-0.634659;Elf;RELAIS BEAUCOUZE SARL THENEZAY;;R;;;
65000008;;65000;;43.25138;0.07252;Intermarché;INTERMARCHE TARBES;;R;;;
50200003;;50200;;49.03819;-1.44591;Total Access;RELAIS DE MONTBRAY;;R;;;
79500002;;79500;;46.22731;-0.127155;Système U;Super U ST LEGER DE LA MARTINIERE;;R;;;
65100004;;65100;;43.1085;-0.03857;Esso Express;ESSO LOURDES;;R;;;
2690002;;02690;;;;;;;A;;;
39210002;;39210;;46.76327;5.59799;Total;GARAGE BUISSON;;R;;;
94430001;;94430;;48.79928;2.54333;Elf;RELAIS PRES FLEURANT;;R;;;
17230001;;17230;;46.29517;-1.10651;Coop;COOP CHARRON;;R;;;
66300001;;66300;;42.62626;2.76669;Intermarché;Intermarché;;R;;;
63350001;;63350;;45.91447;3.33123;Simply Market;SIMPLY MARKET;;R;;;
31210007;;31210;;43.12965;0.61601;Avia;Avia;;A;;;
94380002;;94380;;48.76525;2.47845;Esso Express;ESSO BONNEUIL;;R;;;
72100003;;72100;;;;;;;R;;;
7120002;;07120;;44.40849;4.29408;Elan;ETS MAURIN;;R;;;
31240002;;31240;;43.64881;1.48432;KAI;STATION KAI L'UNION;;R;;;
92400007;;92400;;48.9048;2.25646;Total Access;RELAIS DE COURBEVOIE;;R;;;
88400002;;88400;;48.07381;6.87194;Intermarché;INTERMARCHE GERARDMER;;R;;;
73600002;;73600;;45.4722;6.52916;Système U;STATION U SALINS;;R;;;
57070007;;57070;;49.12869;6.19585;Total;RELAIS LES TERRES ROUGES;;R;;;
91220002;;91220;;;;;;;R;;;
13016008;;13016;;;;;;;R;;;
51800005;;51800;;49.09512;4.91597;Intermarché;INTERMARCHE SAINTE MENEHOULDE;;R;;;
75015028;;75015;;;;;;;R;;;
85440002;;85440;;46.46783;-1.62836;Total;SARL THOMAS AUTOMOBILES;;R;;;
